userId,active_days,matches_played,total_distance,total_calories,current_streak,friends_count,churn
user_1,3.0,4.0,20914.93333925734,1819.7903515288917,1.0,19,1
user_10,3.0,4.0,33974.72995478689,3411.7391861512924,0.0,20,1
user_11,6.0,10.0,82784.46926846536,9518.884475205668,5.0,2,1
user_12,1.0,0.0,0.0,0.0,0.0,19,1
user_13,1.0,0.0,0.0,0.0,0.0,9,1
user_14,1.0,4.0,15168.062125587687,1144.320094606956,0.0,14,1
user_15,5.0,6.0,51923.793430176454,5174.086065880165,3.0,16,1
user_16,2.0,0.0,0.0,0.0,1.0,10,1
user_17,1.0,0.0,0.0,0.0,0.0,6,1
user_18,1.0,0.0,0.0,0.0,0.0,20,1
user_19,3.0,11.0,59514.34780623868,5489.989222117526,0.0,19,1
user_2,6.0,11.0,73408.44739548245,7551.572314043761,1.0,4,1
user_20,3.0,6.0,32363.54181199035,2153.5938654192432,1.0,4,1
user_21,1.0,0.0,0.0,0.0,0.0,18,1
user_22,4.0,6.0,42353.06010291659,3836.3927926661945,1.0,16,1
user_23,2.0,2.0,0.0,0.0,0.0,8,1
user_24,1.0,1.0,0.0,0.0,0.0,8,1
user_25,3.0,2.0,0.0,0.0,0.0,11,1
user_26,1.0,1.0,0.0,0.0,0.0,13,1
user_27,2.0,7.0,41364.83535737368,4090.3809225015284,0.0,14,1
user_28,2.0,4.0,8855.420802609964,1013.6528050859549,1.0,5,1
user_29,3.0,6.0,30240.011949593943,2956.8735501849337,2.0,19,1
user_3,5.0,5.0,36917.405643318496,4150.948790413299,0.0,18,1
user_30,1.0,1.0,0.0,0.0,0.0,20,1
user_31,5.0,4.0,55336.822130968045,4158.356919160282,1.0,18,1
user_32,1.0,3.0,8261.479740290311,1119.682532917979,0.0,2,1
user_33,3.0,4.0,19616.467794447024,2378.1569594088596,0.0,10,1
user_34,4.0,10.0,54893.08945900977,4860.8886230923945,1.0,18,1
user_35,1.0,1.0,0.0,0.0,0.0,4,1
user_36,1.0,0.0,0.0,0.0,0.0,11,1
user_37,2.0,2.0,7733.162975077072,1991.6737896870238,0.0,12,1
user_38,2.0,4.0,14301.939061244459,2100.179506820027,0.0,3,1
user_39,4.0,2.0,29090.31963789225,2753.5051466815094,1.0,6,1
user_4,2.0,3.0,0.0,0.0,1.0,2,1
user_40,1.0,1.0,0.0,0.0,0.0,20,1
user_41,5.0,10.0,59483.195418314324,5481.5980711391585,2.0,6,1
user_42,2.0,4.0,17557.846723160845,1656.9869464167562,0.0,2,1
user_43,3.0,4.0,33572.864185231956,2979.6707054321196,0.0,19,1
user_44,4.0,5.0,42042.636028557245,4455.915281876386,1.0,18,1
user_45,2.0,4.0,25487.80789978521,2566.224166322836,0.0,1,1
user_46,4.0,9.0,52831.061346414754,5188.472179584067,1.0,1,1
user_47,2.0,1.0,0.0,0.0,0.0,8,1
user_48,2.0,0.0,0.0,0.0,1.0,12,1
user_49,4.0,5.0,64061.47223810349,6541.763453028643,3.0,3,1
user_5,2.0,6.0,29413.39676983968,1861.8722708857051,0.0,19,1
user_50,2.0,0.0,0.0,0.0,0.0,0,1
user_6,2.0,1.0,15192.12884745175,1970.4125420017176,0.0,4,1
user_7,4.0,7.0,34321.2435068097,3999.6939548121436,0.0,0,1
user_8,6.0,13.0,71893.00069114681,8160.6193276413405,5.0,1,1
user_9,3.0,1.0,0.0,0.0,0.0,5,1
