userId,active_days,matches_played,total_distance,total_calories,current_streak,friends_count,churn
user_1,6.0,4.0,27047.302519803157,3934.702179349832,5.0,2,0
user_10,6.0,3.0,20262.01676364655,4142.561970468347,3.0,15,0
user_100,1.0,0.0,770.2451449253434,219.6821810732913,0.0,13,1
user_101,5.0,2.0,24830.802802512655,3372.695661220741,3.0,18,0
user_102,2.0,1.0,1570.687798763484,385.16889896283266,2.0,2,1
user_103,2.0,0.0,1775.3642461534134,226.90356496836665,1.0,2,1
user_104,6.0,3.0,25098.914152404344,2764.8561841902283,1.0,29,0
user_105,2.0,2.0,3894.5915867631315,514.2914570198355,0.0,4,1
user_106,3.0,2.0,3164.5004261428403,575.0616786030846,3.0,26,1
user_107,4.0,1.0,11351.890052920113,2082.8750790404692,2.0,16,0
user_108,1.0,0.0,789.5317109165726,43.39522518617645,0.0,22,1
user_109,2.0,1.0,3012.7809401545715,469.96489907579604,0.0,8,1
user_11,1.0,0.0,954.317185212151,178.62876190157797,0.0,14,1
user_110,6.0,3.0,25528.119909782217,3192.8558929977935,1.0,9,0
user_111,1.0,0.0,89.494228560493,193.86741820971034,0.0,24,1
user_112,4.0,3.0,2508.5317716773625,467.29683999813653,0.0,23,1
user_113,5.0,2.0,18044.40397135035,2126.603189040565,2.0,23,0
user_114,2.0,0.0,972.1068211305135,155.37887403727348,0.0,11,1
user_115,3.0,1.0,3723.8892659021985,743.6402699304529,0.0,28,1
user_116,6.0,7.0,38333.81470820587,5226.697146013562,4.0,15,0
user_117,5.0,1.0,16508.688980153238,1704.441824391507,1.0,1,0
user_118,3.0,2.0,2590.919941040512,1068.8276987433803,0.0,30,1
user_119,3.0,1.0,14185.235590149601,2275.2425780602553,1.0,9,0
user_12,1.0,0.0,1463.9366071325796,245.17062388788509,0.0,7,1
user_120,1.0,0.0,622.962483137957,136.4064882553769,0.0,14,1
user_121,3.0,1.0,2889.738946444686,354.68981460417785,0.0,23,1
user_122,6.0,2.0,25729.831902681875,4098.194236889155,5.0,7,0
user_123,5.0,4.0,26008.601234679118,2805.4375878371275,3.0,6,0
user_124,1.0,0.0,809.7464650656625,138.67640934872654,0.0,26,1
user_125,5.0,5.0,26360.62995835018,4003.3091584733534,2.0,6,0
user_126,4.0,1.0,2314.8098206162613,697.1662144568066,1.0,20,1
user_127,4.0,3.0,5121.342767773128,610.4663493973463,2.0,19,1
user_128,2.0,0.0,455.7648531204275,323.82036097392614,0.0,25,1
user_129,5.0,3.0,16913.97322555794,3147.3149506110117,0.0,22,0
user_13,2.0,1.0,902.0450417240016,15.845710770218236,0.0,9,1
user_130,3.0,1.0,2144.8930688943174,367.74084250564954,0.0,15,1
user_131,6.0,5.0,46301.52236508547,4732.044081001096,4.0,4,0
user_132,5.0,3.0,33138.0822176713,3428.159055313168,1.0,1,0
user_133,3.0,0.0,3048.265626296013,231.08788086465557,1.0,19,1
user_134,4.0,3.0,12693.751334249766,2166.2481627986085,3.0,10,0
user_135,6.0,3.0,34800.90856403711,4729.939352664134,5.0,4,0
user_136,5.0,5.0,38126.60503101682,4106.31970950747,0.0,3,0
user_137,1.0,0.0,1311.5157749051589,305.64546996053775,0.0,2,1
user_138,3.0,1.0,3143.279838593138,526.6818079110164,2.0,29,1
user_139,5.0,4.0,22252.91283023323,2828.9164466077564,1.0,28,0
user_14,1.0,1.0,706.6912147518838,90.34708930154802,0.0,18,1
user_140,5.0,2.0,12329.549861224932,2534.4076700261535,2.0,11,0
user_141,4.0,1.0,1580.5347717103086,439.74808472750317,3.0,20,1
user_142,5.0,3.0,21646.442165360048,2711.107272806741,0.0,16,0
