userId,active_days,matches_played,total_distance,total_calories,current_streak,friends_count,churn
user_1,5.0,1.0,5775.5597721135355,892.8505684910212,0.0,5,1
user_10,1.0,0.0,1477.7364646829424,91.58492365430456,0.0,27,1
user_100,1.0,0.0,341.89551069928996,50.36716005510311,0.0,30,1
user_101,5.0,1.0,23926.242669561718,3278.6536887523393,3.0,7,0
user_102,6.0,7.0,36058.39176236151,5520.180575311505,3.0,0,0
user_103,7.0,5.0,36259.69410771409,6095.746422328078,7.0,27,0
user_104,6.0,8.0,44918.065434679076,6847.339050457778,6.0,28,0
user_105,4.0,4.0,5567.565685187361,810.3125282069278,0.0,4,1
user_106,5.0,8.0,29562.344006506897,4305.480902612018,2.0,30,0
user_107,2.0,2.0,3521.5510026876336,945.0424229409198,0.0,24,1
user_108,5.0,3.0,6684.9111171081495,1077.5484097894796,5.0,27,1
user_109,3.0,3.0,6278.737869261597,835.9375718606941,1.0,14,1
user_11,4.0,7.0,30842.111364802317,4408.810437441132,3.0,20,0
user_110,6.0,2.0,5050.884012697243,906.3338955061151,2.0,4,1
user_111,6.0,9.0,55718.307688958106,9080.582678435403,2.0,6,0
user_112,2.0,2.0,3291.289648372296,456.3916686738323,0.0,8,1
user_113,6.0,4.0,40364.01744154752,4511.863519279198,0.0,1,0
user_114,3.0,3.0,3618.28180058272,836.6788459056322,1.0,24,1
user_115,4.0,2.0,4751.4596640990085,751.1923968220927,3.0,11,1
user_116,2.0,2.0,11896.602320384165,1347.556155267479,0.0,5,0
user_117,5.0,4.0,26903.21773897107,3725.11785780332,2.0,0,0
user_118,7.0,7.0,39840.856764555116,6100.431124000088,7.0,25,0
user_119,7.0,2.0,40242.14526388925,4781.547865751825,7.0,21,0
user_12,6.0,5.0,54813.63574266286,6214.11189548616,0.0,28,0
user_120,2.0,1.0,1713.1927738296235,385.5619021051253,0.0,1,1
user_121,5.0,5.0,24067.544078715327,4136.2589356751905,0.0,28,0
user_122,3.0,1.0,2053.174455367197,530.4095207571237,0.0,14,1
user_123,4.0,4.0,3423.0902048618323,935.3126017127083,0.0,7,1
user_124,3.0,1.0,4042.72483840199,592.9280354830247,0.0,29,1
user_125,7.0,2.0,53798.913551687976,6041.65183509772,7.0,19,0
user_126,2.0,1.0,2322.013431746293,282.5067742079111,1.0,14,1
user_127,4.0,2.0,11109.635960193245,1595.633939007274,1.0,11,0
user_128,3.0,0.0,1759.961158995408,382.00424008082837,1.0,9,1
user_129,3.0,0.0,11360.205953271485,1096.0460116973668,0.0,30,0
user_13,5.0,5.0,32801.0091820395,3790.3171271846622,0.0,2,0
user_130,3.0,3.0,11940.989252314783,1697.8030689965199,1.0,9,0
user_131,5.0,1.0,3777.76348860874,1081.0313704798255,1.0,25,1
user_132,3.0,4.0,4683.401161366354,546.8286669647099,1.0,7,1
user_133,7.0,6.0,31731.60692447675,5488.998926206954,7.0,5,0
user_134,7.0,11.0,54723.0703340054,7519.952570592233,7.0,18,0
user_135,4.0,2.0,5773.992943632147,597.2194521527905,0.0,4,1
user_136,6.0,6.0,24123.370735513392,3928.7999148349622,6.0,22,0
user_137,4.0,2.0,11063.347570599868,1874.1950684757794,0.0,7,0
user_138,2.0,2.0,2254.868659793034,328.5870998010867,0.0,24,1
user_139,4.0,1.0,4236.242297111055,663.9043624192627,1.0,20,1
user_14,4.0,0.0,2332.3493621463517,611.964170953057,2.0,30,1
user_140,5.0,2.0,4507.606264850558,948.3024651757489,1.0,3,1
user_141,3.0,1.0,2116.0537630420176,157.30475211788803,0.0,28,1
user_142,5.0,1.0,33583.79430747325,4252.7425240355915,1.0,10,0
user_143,3.0,1.0,4172.43643793316,641.7807607036518,2.0,1,1
user_144,3.0,0.0,11338.144250643047,1612.1934117446544,0.0,24,0
user_145,6.0,3.0,5459.75835221247,1049.8032268056372,6.0,24,1
user_146,7.0,9.0,50466.82544105167,6917.33998866346,7.0,6,0
user_147,1.0,0.0,1482.3815336131852,84.79910839449443,0.0,14,1
user_148,6.0,5.0,39853.339950815935,5229.94547119149,6.0,17,0
user_149,5.0,4.0,42810.95638975811,5141.159459512381,1.0,1,0
user_15,6.0,6.0,45640.98002059023,7393.097144549072,4.0,18,0
user_150,2.0,0.0,3184.333601842841,493.7138806047039,2.0,7,1
user_16,5.0,2.0,6956.788414819954,1065.7690479747027,3.0,16,1
user_17,4.0,4.0,5027.0188154735815,1073.7808542918945,1.0,28,1
user_18,3.0,4.0,5578.681148669208,457.87309921165354,0.0,11,1
user_19,6.0,4.0,5959.98271613286,1114.1868643410075,4.0,20,1
user_2,7.0,7.0,30605.22526999895,5470.622496187345,7.0,29,0
user_20,7.0,8.0,63070.79625823629,8360.710246179908,7.0,27,0
user_21,3.0,2.0,2230.8534913444123,539.5903244123133,0.0,19,1
user_22,4.0,5.0,27819.17459635058,4013.504011663464,2.0,18,0
user_23,4.0,2.0,2430.841270939923,1020.6497039082457,0.0,5,1
user_24,4.0,4.0,4664.087525613487,815.0113517283484,1.0,12,1
user_25,7.0,8.0,52328.64181972831,7925.156719534146,7.0,14,0
user_26,3.0,1.0,1429.6532519315572,432.73148794619715,0.0,30,1
user_27,3.0,1.0,3592.5954305785635,438.7056304146817,1.0,10,1
user_28,4.0,3.0,4946.903136560388,847.3387711567227,0.0,6,1
user_29,2.0,0.0,1108.9682816665431,301.6224992230886,1.0,21,1
user_3,2.0,1.0,733.2219219816683,242.38866255160087,0.0,30,1
user_30,7.0,6.0,44620.43013479914,6277.374543590737,7.0,10,0
user_31,5.0,3.0,4839.951365602565,794.8875591453252,2.0,2,1
user_32,3.0,1.0,2343.549659509761,484.2838136722738,1.0,9,1
user_33,6.0,4.0,63587.09349183534,8350.468008434742,2.0,23,0
user_34,6.0,5.0,35519.2933065747,5276.529963106146,6.0,22,0
user_35,3.0,1.0,8884.061313997909,1036.1466277296904,3.0,12,0
user_36,4.0,4.0,5761.820577591716,1014.1731862107985,0.0,8,1
user_37,2.0,2.0,2608.3209084921864,416.0067980050676,1.0,29,1
user_38,1.0,0.0,864.5537840188706,15.32380047933432,0.0,14,1
user_39,5.0,1.0,18043.576420666053,2539.5199497704193,0.0,24,0
user_4,1.0,1.0,557.373578076185,46.21829710010328,0.0,0,1
user_40,6.0,4.0,34378.38388910705,5051.680615482099,1.0,12,0
user_41,3.0,5.0,4727.743675545982,927.8239592365936,2.0,12,1
user_42,3.0,1.0,2117.7170456337694,136.9050274876664,2.0,18,1
user_43,7.0,6.0,39802.3877867179,5986.353686043455,7.0,5,0
user_44,2.0,1.0,3829.689785244648,244.5246912591911,0.0,19,1
user_45,5.0,1.0,5185.973271943633,846.4446129675553,2.0,26,1
user_46,3.0,0.0,2440.3569532792026,80.61329853797439,1.0,2,1
user_47,4.0,1.0,2525.0799523907526,798.6481694327704,1.0,30,1
user_48,7.0,9.0,54030.71854528325,6613.937405954368,7.0,1,0
user_49,7.0,8.0,60932.20295478636,8326.470956575673,7.0,18,0
user_5,4.0,2.0,6311.286178829495,875.5691452231616,0.0,28,1
user_50,2.0,1.0,1361.3086917778228,293.1929972495005,0.0,14,1
user_51,5.0,1.0,18357.77086399767,3145.7915290906058,0.0,29,0
user_52,3.0,2.0,13539.260025084697,1661.2277972935872,0.0,21,0
user_53,1.0,0.0,1246.2653713931081,242.6312709595005,0.0,3,1
user_54,1.0,1.0,1468.7142232535994,142.275796330437,0.0,17,1
user_55,5.0,4.0,28351.578817523892,4242.051915577456,0.0,1,0
user_56,7.0,10.0,55532.89980479567,7722.253862293115,7.0,23,0
user_57,3.0,1.0,15312.455453751156,1501.140790977816,0.0,10,0
user_58,7.0,4.0,55017.61634132983,7152.617329960452,7.0,19,0
user_59,7.0,9.0,57756.83558694256,7051.639873512722,7.0,30,0
user_6,4.0,3.0,3555.010799805904,696.0998593232155,2.0,21,1
user_60,5.0,6.0,6153.291591269742,1029.4546034066054,0.0,21,1
user_61,6.0,8.0,37098.76978340336,4185.755240207865,0.0,29,0
user_62,2.0,1.0,1211.8299913093251,285.4232601229207,0.0,7,1
user_63,6.0,3.0,35828.52918729979,3483.1915523526077,4.0,28,0
user_64,2.0,2.0,1370.6944786424647,62.49443618727035,0.0,26,1
user_65,2.0,0.0,2718.41362842299,235.8423836982975,0.0,25,1
user_66,6.0,6.0,42457.955984416185,6428.4804059845665,6.0,6,0
user_67,3.0,1.0,1044.0291534021128,493.61981218375536,0.0,27,1
user_68,5.0,3.0,4398.532598926168,978.2450205690309,0.0,28,1
user_69,3.0,1.0,2675.8222674451467,541.0750877859585,1.0,4,1
user_7,4.0,3.0,3507.163437058377,683.1378630739765,1.0,15,1
user_70,6.0,6.0,38449.826687829715,5289.238133759354,6.0,1,0
user_71,6.0,6.0,54784.865308433036,7485.573666453093,1.0,18,0
user_72,5.0,4.0,30969.706690892934,2897.9534423238833,1.0,6,0
user_73,4.0,2.0,5008.966356210477,489.2925030091156,0.0,28,1
user_74,4.0,5.0,4879.555647810055,785.9538852647975,1.0,12,1
user_75,5.0,8.0,59337.507781546075,8459.91180338633,0.0,18,0
user_76,4.0,1.0,4158.890668996808,602.506716734594,3.0,14,1
user_77,6.0,8.0,46809.78505115713,5949.192326957875,2.0,20,0
user_78,5.0,5.0,26977.54589489894,4250.346461050381,1.0,1,0
user_79,2.0,0.0,5767.427324621859,1362.4307365078314,1.0,18,0
user_8,5.0,5.0,41585.893590962725,5326.536790443261,0.0,10,0
user_80,3.0,1.0,13034.515093659347,1726.7191717914802,0.0,22,0
user_81,2.0,2.0,2246.616118404394,342.9272088266007,0.0,1,1
user_82,4.0,5.0,5117.1272665024435,1233.7391206686982,0.0,4,1
user_83,2.0,0.0,7948.670840801474,1166.9556716882712,0.0,15,0
user_84,4.0,4.0,4469.242139750444,1071.1252831302963,2.0,29,1
user_85,4.0,3.0,6955.841712627442,964.0493474278037,2.0,14,1
user_86,3.0,2.0,2438.0171508004673,564.8082784205549,0.0,25,1
user_87,2.0,0.0,2262.6160970120354,519.126563377482,0.0,1,1
user_88,2.0,2.0,2049.8125037840878,370.63936371072316,0.0,20,1
user_89,2.0,2.0,315.016085478498,348.26694121021694,0.0,7,1
user_9,5.0,3.0,16516.521012289057,2450.0016651538663,0.0,19,0
user_90,3.0,0.0,1980.0674946159047,364.04964976285055,1.0,14,1
user_91,3.0,1.0,2992.27075718691,293.09257061833176,0.0,13,1
user_92,4.0,4.0,6244.934286435779,708.1140290491105,2.0,11,1
user_93,4.0,1.0,2769.1413336234555,620.6254973744353,2.0,0,1
user_94,2.0,0.0,1090.5193775243852,128.57187985957114,0.0,26,1
user_95,7.0,11.0,62831.93284581487,7764.981206286882,7.0,10,0
user_96,5.0,6.0,5674.907251607648,674.4309925366554,3.0,21,1
user_97,4.0,1.0,2879.5031044895786,314.98775787477575,0.0,2,1
user_98,2.0,1.0,1927.6192832391505,340.032312354152,0.0,29,1
user_99,4.0,1.0,512.1986148418199,728.923211065543,0.0,25,1
